"Date","Price","Open","High","Low","Vol.","Change %"
"11/22/2017","56.49","56.54","57.15","56.34","3.32M","0.77%"
"11/21/2017","56.06","56.44","56.77","55.81","3.20M","-0.51%"
"11/20/2017","56.35","56.00","57.02","56.00","4.15M","0.93%"
"11/17/2017","55.83","55.57","55.99","54.34","5.19M","1.05%"
"11/16/2017","55.25","55.54","56.90","52.92","18.41M","-3.58%"
"11/15/2017","57.30","57.06","57.43","56.07","5.27M","0.17%"
"11/14/2017","57.20","56.58","57.62","56.50","2.94M","0.40%"
"11/13/2017","56.97","56.70","57.43","56.38","3.96M","0.51%"
"11/10/2017","56.68","56.19","57.05","56.01","3.90M","1.34%"
"11/09/2017","55.93","56.16","56.49","55.27","3.54M","-1.10%"
"11/08/2017","56.55","55.02","56.78","54.72","3.57M","2.58%"
"11/07/2017","55.13","56.59","56.70","54.65","3.49M","-2.23%"
"11/06/2017","56.39","56.76","57.26","56.22","3.74M","-0.93%"
"11/03/2017","56.92","57.21","57.82","56.83","2.91M","-0.73%"
"11/02/2017","57.34","56.21","57.47","55.87","3.95M","2.37%"
"11/01/2017","56.01","56.18","56.36","55.51","2.33M","0.05%"
"10/31/2017","55.98","55.50","56.38","55.40","2.20M","1.08%"
"10/30/2017","55.38","55.14","55.55","54.97","2.88M","0.33%"
"10/27/2017","55.20","55.31","55.51","54.25","2.66M","-1.34%"
"10/26/2017","55.95","55.07","56.47","55.02","4.16M","1.41%"
"10/25/2017","55.17","56.63","56.70","54.86","3.41M","-2.61%"
"10/24/2017","56.65","56.41","57.06","56.07","3.24M","1.12%"
"10/23/2017","56.02","56.01","56.49","55.94","3.57M","0.34%"
"10/20/2017","55.83","55.79","56.01","55.34","2.66M","0.67%"
"10/19/2017","55.46","55.10","55.74","54.79","2.35M","0.00%"
"10/18/2017","55.46","54.65","55.67","54.57","2.29M","1.48%"
"10/17/2017","54.65","54.72","55.15","54.17","3.66M","-0.47%"
"10/16/2017","54.91","54.95","55.42","54.59","2.85M","-0.34%"
"10/13/2017","55.10","55.29","55.34","54.02","3.10M","-0.05%"
"10/12/2017","55.13","55.48","55.60","54.44","4.03M","-0.61%"
"10/11/2017","55.47","57.05","57.28","55.19","5.81M","-2.97%"
"10/10/2017","57.17","58.44","58.54","57.00","4.00M","-3.17%"
"10/09/2017","59.04","59.00","59.46","58.58","2.65M","0.48%"
"10/06/2017","58.76","57.25","58.87","57.25","4.02M","2.21%"
"10/05/2017","57.49","57.42","58.09","57.19","2.95M","0.59%"
"10/04/2017","57.15","56.91","57.47","56.83","2.30M","0.42%"
"10/03/2017","56.91","57.32","57.87","56.84","2.64M","-0.89%"
"10/02/2017","57.42","57.11","57.71","56.92","2.36M","0.81%"
"09/29/2017","56.96","56.83","57.19","56.36","2.69M","0.23%"
"09/28/2017","56.83","56.48","57.23","56.24","3.54M","0.28%"
"09/27/2017","56.67","54.63","56.86","54.60","4.98M","3.72%"
"09/26/2017","54.64","54.20","54.86","53.67","3.34M","0.87%"
"09/25/2017","54.17","53.72","54.73","53.61","3.70M","0.50%"
"09/22/2017","53.90","53.79","54.86","53.65","4.32M","-0.09%"
"09/21/2017","53.95","52.32","54.32","52.32","6.50M","2.59%"
"09/20/2017","52.59","52.51","52.80","52.05","7.48M","-0.32%"
"09/19/2017","52.76","56.15","56.68","51.61","22.50M","-8.00%"
"09/18/2017","57.35","58.67","58.68","57.26","3.37M","-2.15%"
"09/15/2017","58.61","58.53","58.76","58.08","3.92M","0.39%"
"09/14/2017","58.38","58.29","58.53","57.71","3.71M","-0.38%"
"09/13/2017","58.60","56.79","58.64","56.64","5.70M","3.19%"
"09/12/2017","56.79","56.12","57.09","56.01","3.53M","1.48%"
"09/11/2017","55.96","55.81","55.99","55.34","3.54M","0.83%"
"09/08/2017","55.50","56.03","56.13","55.25","4.25M","-0.91%"
"09/07/2017","56.01","55.66","56.14","55.33","5.30M","0.63%"
"09/06/2017","55.66","55.20","55.75","54.70","5.01M","0.72%"
"09/05/2017","55.26","54.30","55.29","54.24","5.40M","1.43%"
"09/01/2017","54.48","54.44","54.87","53.89","5.80M","0.41%"
"08/31/2017","54.26","54.40","54.46","53.67","8.40M","0.13%"
"08/30/2017","54.19","55.34","55.40","53.45","14.22M","-1.51%"
"08/29/2017","55.02","58.17","58.85","54.75","34.93M","-11.93%"
"08/28/2017","62.47","62.45","62.80","61.65","5.88M","0.97%"
"08/25/2017","61.87","61.85","62.38","61.48","2.25M","0.11%"
"08/24/2017","61.80","62.66","63.32","61.28","3.63M","-0.48%"
"08/23/2017","62.10","61.53","62.34","61.37","4.12M","0.50%"
"08/22/2017","61.79","61.02","61.83","60.96","2.89M","2.22%"
"08/21/2017","60.45","59.47","60.67","59.42","3.08M","1.65%"
"08/18/2017","59.47","60.07","60.16","59.38","3.13M","-1.13%"
"08/17/2017","60.15","60.39","60.86","60.14","2.25M","-0.86%"
"08/16/2017","60.67","59.77","60.91","59.18","2.82M","2.88%"
"08/15/2017","58.97","60.57","60.65","58.93","3.28M","-2.87%"
"08/14/2017","60.71","60.58","60.89","60.31","2.28M","1.07%"
"08/11/2017","60.07","59.77","60.55","59.77","2.19M","0.49%"
"08/10/2017","59.78","60.70","60.70","59.76","2.76M","-2.11%"
"08/09/2017","61.07","61.21","61.89","60.71","2.57M","-0.67%"
"08/08/2017","61.48","61.82","62.36","61.38","2.47M","-0.45%"
"08/07/2017","61.76","60.49","61.78","60.35","3.53M","2.46%"
"08/04/2017","60.28","59.88","60.46","59.79","2.01M","0.99%"
"08/03/2017","59.69","59.41","60.51","59.31","2.21M","0.52%"
"08/02/2017","59.38","59.51","60.10","58.26","3.76M","-0.17%"
"08/01/2017","59.48","58.60","59.60","58.55","4.21M","1.95%"
"07/31/2017","58.34","57.68","58.78","57.68","3.04M","1.21%"
"07/28/2017","57.64","57.16","57.79","57.05","2.52M","1.03%"
"07/27/2017","57.05","55.40","57.14","55.23","3.25M","2.66%"
"07/26/2017","55.57","55.45","55.87","55.02","2.13M","0.45%"
"07/25/2017","55.32","55.25","55.92","54.97","3.47M","0.95%"
"07/24/2017","54.80","54.00","55.27","54.00","3.32M","1.22%"
"07/21/2017","54.14","53.24","54.50","53.16","4.67M","0.33%"
"07/20/2017","53.96","56.04","56.18","52.97","8.00M","-3.93%"
"07/19/2017","56.17","56.13","56.51","55.97","2.09M","0.68%"
